ID,x,y,z,Sender,Receiver,Interference Sender,Interference Receiver,SeedValue: 1646690220 RumValue: 0
0,0,0,0,224,,,,
1,110,0,0,,,,,
2,220,0,0,,,,,
3,330,0,0,,,,,
4,440,0,0,,,,,
5,550,0,0,,,,,
6,660,0,0,,,,,
7,770,0,0,,,,,
8,880,0,0,,,,,
9,990,0,0,,,,,
10,1100,0,0,,,,,
11,1210,0,0,,,,,
12,1320,0,0,,,,,
13,1430,0,0,,,,,
14,1540,0,0,,,,,
15,0,110,0,,,,,
16,110,110,0,,,,,
17,220,110,0,,,,,
18,330,110,0,,,,,
19,440,110,0,,,,,
20,550,110,0,,,,,
21,660,110,0,,,,,
22,770,110,0,,,,,
23,880,110,0,,,,,
24,990,110,0,,,,,
25,1100,110,0,,,,,
26,1210,110,0,,,,,
27,1320,110,0,,,,,
28,1430,110,0,,,,,
29,1540,110,0,,,,,
30,0,220,0,,,,,
31,110,220,0,,,,,
32,220,220,0,,,,,
33,330,220,0,,,,,
34,440,220,0,,,,,
35,550,220,0,,,,,
36,660,220,0,,,,,
37,770,220,0,,,,,
38,880,220,0,,,,,
39,990,220,0,,,,,
40,1100,220,0,,,,,
41,1210,220,0,,,,,
42,1320,220,0,,,,,
43,1430,220,0,,,,,
44,1540,220,0,,,,,
45,0,330,0,,,,,
46,110,330,0,,,,,
47,220,330,0,,,,,
48,330,330,0,,,,,
49,440,330,0,,,,,
50,550,330,0,,,,,
51,660,330,0,,,,,
52,770,330,0,,,,,
53,880,330,0,,,,,
54,990,330,0,,,,,
55,1100,330,0,,,,,
56,1210,330,0,,,,,
57,1320,330,0,,,,,
58,1430,330,0,,,,,
59,1540,330,0,,,,,
60,0,440,0,,,,,
61,110,440,0,,,,,
62,220,440,0,,,,,
63,330,440,0,,,,,
64,440,440,0,,,,,
65,550,440,0,,,,,
66,660,440,0,,,,,
67,770,440,0,,,,,
68,880,440,0,,,,,
69,990,440,0,,,,,
70,1100,440,0,,,,,
71,1210,440,0,,,,,
72,1320,440,0,,,,,
73,1430,440,0,,,,,
74,1540,440,0,,,,,
75,0,550,0,,,,,
76,110,550,0,,,,,
77,220,550,0,,,,,
78,330,550,0,,,,,
79,440,550,0,,,,,
80,550,550,0,,,,,
81,660,550,0,,,,,
82,770,550,0,,,,,
83,880,550,0,,,,,
84,990,550,0,,,,,
85,1100,550,0,,,,,
86,1210,550,0,,,,,
87,1320,550,0,,,,,
88,1430,550,0,,,,,
89,1540,550,0,,,,,
90,0,660,0,,,,,
91,110,660,0,,,,,
92,220,660,0,,,,,
93,330,660,0,,,,,
94,440,660,0,,,,,
95,550,660,0,,,,,
96,660,660,0,,,,,
97,770,660,0,,,,,
98,880,660,0,,,,,
99,990,660,0,,,,,
100,1100,660,0,,,,,
101,1210,660,0,,,,,
102,1320,660,0,,,,,
103,1430,660,0,,,,,
104,1540,660,0,,,,,
105,0,770,0,,,,,
106,110,770,0,,,,,
107,220,770,0,,,,,
108,330,770,0,,,,,
109,440,770,0,,,,,
110,550,770,0,,,,,
111,660,770,0,,,,,
112,770,770,0,,,,,
113,880,770,0,,,,,
114,990,770,0,,,,,
115,1100,770,0,,,,,
116,1210,770,0,,,,,
117,1320,770,0,,,,,
118,1430,770,0,,,,,
119,1540,770,0,,,,,
120,0,880,0,,,,,
121,110,880,0,,,,,
122,220,880,0,,,,,
123,330,880,0,,,,,
124,440,880,0,,,,,
125,550,880,0,,,,,
126,660,880,0,,,,,
127,770,880,0,,,,,
128,880,880,0,,,,,
129,990,880,0,,,,,
130,1100,880,0,,,,,
131,1210,880,0,,,,,
132,1320,880,0,,,,,
133,1430,880,0,,,,,
134,1540,880,0,,,,,
135,0,990,0,,,,,
136,110,990,0,,,,,
137,220,990,0,,,,,
138,330,990,0,,,,,
139,440,990,0,,,,,
140,550,990,0,,,,,
141,660,990,0,,,,,
142,770,990,0,,,,,
143,880,990,0,,,,,
144,990,990,0,,,,,
145,1100,990,0,,,,,
146,1210,990,0,,,,,
147,1320,990,0,,,,,
148,1430,990,0,,,,,
149,1540,990,0,,,,,
150,0,1100,0,,,,,
151,110,1100,0,,,,,
152,220,1100,0,,,,,
153,330,1100,0,,,,,
154,440,1100,0,,,,,
155,550,1100,0,,,,,
156,660,1100,0,,,,,
157,770,1100,0,,,,,
158,880,1100,0,,,,,
159,990,1100,0,,,,,
160,1100,1100,0,,,,,
161,1210,1100,0,,,,,
162,1320,1100,0,,,,,
163,1430,1100,0,,,,,
164,1540,1100,0,,,,,
165,0,1210,0,,,,,
166,110,1210,0,,,,,
167,220,1210,0,,,,,
168,330,1210,0,,,,,
169,440,1210,0,,,,,
170,550,1210,0,,,,,
171,660,1210,0,,,,,
172,770,1210,0,,,,,
173,880,1210,0,,,,,
174,990,1210,0,,,,,
175,1100,1210,0,,,,,
176,1210,1210,0,,,,,
177,1320,1210,0,,,,,
178,1430,1210,0,,,,,
179,1540,1210,0,,,,,
180,0,1320,0,,,,,
181,110,1320,0,,,,,
182,220,1320,0,,,,,
183,330,1320,0,,,,,
184,440,1320,0,,,,,
185,550,1320,0,,,,,
186,660,1320,0,,,,,
187,770,1320,0,,,,,
188,880,1320,0,,,,,
189,990,1320,0,,,,,
190,1100,1320,0,,,,,
191,1210,1320,0,,,,,
192,1320,1320,0,,,,,
193,1430,1320,0,,,,,
194,1540,1320,0,,,,,
195,0,1430,0,,,,,
196,110,1430,0,,,,,
197,220,1430,0,,,,,
198,330,1430,0,,,,,
199,440,1430,0,,,,,
200,550,1430,0,,,,,
201,660,1430,0,,,,,
202,770,1430,0,,,,,
203,880,1430,0,,,,,
204,990,1430,0,,,,,
205,1100,1430,0,,,,,
206,1210,1430,0,,,,,
207,1320,1430,0,,,,,
208,1430,1430,0,,,,,
209,1540,1430,0,,,,,
210,0,1540,0,,,,,
211,110,1540,0,,,,,
212,220,1540,0,,,,,
213,330,1540,0,,,,,
214,440,1540,0,,,,,
215,550,1540,0,,,,,
216,660,1540,0,,,,,
217,770,1540,0,,,,,
218,880,1540,0,,,,,
219,990,1540,0,,,,,
220,1100,1540,0,,,,,
221,1210,1540,0,,,,,
222,1320,1540,0,,,,,
223,1430,1540,0,,,,,
224,1540,1540,0,,0,,,
